"","State","num.landfills","total.waste","total.with.lfg","total.lfg.collected","total.capacity","total.reduction","state.name","Rank","X2017.Population","X2017.Growth","X..of.US","Density","Land"
"1","AK",9,19411639,4,6.303,7,0.3163,"Alaska",48,746079,0.00564096757757837,0.00229309887697754,1,570641
"2","AL",50,145161607,28,30.7607,8.75,0.3724,"Alabama",24,4872725,0.00193798449612403,0.0149764840255796,95,50645
"3","AR",27,66158193,11,21.657,8.8,0.6931,"Arkansas",32,2998643,0.00347862694127121,0.00921643002384005,57,52035
"4","AZ",42,202242187,25,24.593,18.7525,0.3795,"Arizona",14,7044577,0.0163764012805525,0.0216517441282784,60,113594
"5","CA",385,3044648151,228,727.8106,516.341,16.77773,"California",1,39506094,0.00652425195127937,0.121423307431477,251,163696
"6","CO",36,198282361,12,10.571,28,0.28916,"Colorado",21,5632271,0.0165554110651569,0.0173109741795884,52,103642
"7","CT",27,45754747,13,7.924584,15.84,0.3027,"Connecticut",29,3568174,-0.0023145843981689,0.0109669026902787,741,4842
"8","DE",10,81226563,9,32.88,28.08,0.6859,"Delaware",45,960054,0.00839123379181039,0.00295075822967513,485,1949
"9","FL",97,502824937,69,129.955,134.81,3.6879,"Florida",3,20979964,0.0178302528875889,0.0644826243433057,378,53625
"10","GA",90,257517843,57,109.5246,70.69,3.8999,"Georgia",8,10421344,0.010763240236457,0.0320303509722115,177,57513
"11","HI",14,24489573,4,2.269,3.3,0,"Hawaii",40,1431957,0.00238002403824278,0.00440116795752209,222,6423
"12","IA",33,92567279,12,21.478,19.6,0.8867,"Iowa",30,3147389,0.00405015738383319,0.00967360585314888,55,55857
"13","ID",32,16459007,6,11.714,7.3,0.2123,"Idaho",39,1713452,0.018009197095904,0.00526635229909288,20,82643
"14","IL",113,624951456,86,176.4598,264.005,6.78732,"Illinois",6,12764031,-0.00292996021806435,0.0392306781879754,231,55519
"15","IN",117,472867264,53,167.876,90.19,4.24352,"Indiana",17,6653338,0.00305816944324122,0.0204492579149822,184,35826
"16","KS",39,104915657,13,27.586,9.153,1.0395,"Kansas",35,2907857,0.000195371014027224,0.00893739620215993,36,81759
"17","KY",43,165797174,26,40.115,19.565,0.7626,"Kentucky",26,4449337,0.0027863584506016,0.0136751867804812,112,39486
"18","LA",46,138996818,25,27.665,2.015,1.34079,"Louisiana",25,4694372,0.00271399113050785,0.0144283100868873,108,43204
"19","MA",60,151257779,45,51.724,72.094,1.762,"Massachusetts",15,6839318,0.00404284989281067,0.0210208736944644,871,7800
"20","MD",49,112972484,28,37.475,26.719,1.3847,"Maryland",19,6037911,0.00356755407302689,0.0185577223503011,618,9707
"21","ME",12,17333449,8,5.992,11.9,0.3208,"Maine",42,1333505,0.00152161618771296,0.00409857242724153,43,30843
"22","MI",104,553956573,97,312.774,191.1,8.42227,"Michigan",10,9938885,0.0010661442543034,0.0305474970236515,175,56539
"23","MN",36,90783552,27,31.553,31.995,1.1247,"Minnesota",22,5557469,0.00679661707203261,0.0170810677190183,68,79627
"24","MO",114,264589283,37,43.754,42.078,1.92251,"Missouri",18,6109796,0.00275660594124405,0.0187786633133513,88,68742
"25","MS",28,105766304,12,18.922,3.599,0.4767,"Mississippi",34,2988062,-0.000222168241585163,0.00918390896478692,63,46923
"26","MT",8,19600044,6,3.966,1.2,0.1327,"Montana",44,1052967,0.0100209108698155,0.00323632945732879,7,145546
"27","NC",147,258699072,74,105.9122,81.09,3.97648,"North Carolina",9,10258390,0.0109987515260987,0.0315295063774716,206,48617.91
"28","ND",6,5461396,2,2.4,0.8,0.0842,"North Dakota",47,759069,0.00147370809761038,0.00233302407848025,10,69001
"29","NE",27,61147362,8,13.831,11.2,0.5861,"Nebraska",37,1920467,0.00700062293012071,0.00590261985791374,24,76824
"30","NH",34,73509450,17,109.968,17.45,1.3255,"New Hampshire",41,1339479,0.00350915309092414,0.00411693371698573,148,8953
"31","NJ",48,508837685,47,112.897,154.195,3.88824,"New Jersey",11,8953517,0.00101157486263292,0.0275189353643506,1218,7354
"32","NM",16,30572295,6,2.058,1.645,0.0929,"New Mexico",36,2081702,0.000330127365732569,0.00639818104839018,17,121298
"33","NV",10,110898368,3,2.85,13.87,0.6267,"Nevada",33,2996358,0.0191492820889927,0.00920940699955724,26,109781
"34","NY",127,871899822,93,259.045,172.655,6.57673,"New York",4,19743395,-9.59216145177688e-05,0.0606819879694027,420,47126
"35","OH",89,727078633,65,240.536,101,6.71643,"Ohio",7,11623656,0.000799268285941901,0.0357256973054774,284,40861
"36","OK",32,63758528,15,22.721,5.62,0.5034,"Oklahoma",28,3939708,0.00411539415342332,0.0121088249239282,57,68595
"37","OR",21,171368744,16,49.826,40.5,1.6533,"Oregon",27,4162296,0.016814850010932,0.0127929566215483,41,95988
"38","PA",120,1167990331,101,458.752,242.8,10.8356,"Pennsylvania",5,12776550,-0.000600505607417645,0.0392691557551511,286,44743
"39","RI",8,49400000,5,62.4,53.7,2.4262,"Rhode Island",43,1057245,0.000775255436727296,0.00324947803408234,1021,1034
"40","SC",60,184058866,32,72.1042,39,1.89983,"South Carolina",23,5027404,0.0133608970073082,0.0154518951297549,162,30061
"41","SD",9,15220176,2,3.38,0,0.1576,"South Dakota",46,872989,0.00870641305026032,0.0026831610265317,11,75811
"42","TN",138,204067240,31,38.646,21.901,1.8376,"Tennessee",16,6707332,0.00844028906689531,0.0206152102883415,160,41235
"43","TX",145,825207939,102,153.893,115.646,8.61953,"Texas",2,28295553,0.0155390043339825,0.0869673329603949,105,261232
"44","UT",53,50486098,7,8.261,12.45,0.5083,"Utah",31,3111802,0.0198560115521118,0.00956422801281964,36,82170
"45","VA",94,462323856,66,164.6776,117.47,4.33549,"Virginia",12,8456029,0.00525701490095831,0.0259898892792714,212,39490.09
"46","VT",17,34410000,13,12.81,14.135,0.514,"Vermont",50,623100,-0.00239195381319701,0.00191511878801669,67,9217
"47","WA",56,235673032,27,83.484,40.2,2.4917,"Washington",13,7415710,0.0175233260153678,0.0227924338749531,107,66456
"48","WI",83,251418355,66,129.563,109.615,4.2077,"Wisconsin",20,5789525,0.00187187170557856,0.0177942996327914,106,54158
"49","WV",22,24473190,12,8.953,4.9,0.0989,"West Virginia",38,1821151,-0.00543443238006402,0.0055973687946002,76,24038
"50","WY",4,8826056,0,0,0,0,"Wyoming",51,584447,-0.00180016771961111,0.00179631749366071,6,97093
