State abbreviation,State nameplate capacity (MW),State total annual heat input (MMBtu),State annual net generation (MWh),State ozone season net generation (MWh),State annual NOx emissions (tons),State ozone season NOx emissions (tons),State annual SO2 emissions (tons),State annual CO2 emissions (tons),State annual CH4 emissions (lbs),State annual N2O emissions (lbs),State annual coal net generation (MWh),State annual oil net generation (MWh),State annual gas net generation (MWh),State annual nuclear net generation (MWh),State annual hydro net generation (MWh),State annual biomass net generation (MWh),State annual wind net generation (MWh),State annual solar net generation (MWh),State annual geothermal net generation (MWh),State annual other fossil net generation (MWh),State annual other unknown/ purchased fuel net generation (MWh),State annual total nonrenewables net generation (MWh),State annual total renewables net generation (MWh),State annual total nonhydro renewables net generation (MWh),State annual total combustion net generation (MWh),State annual total noncombustion net generation (MWh)
AK,3184,54140994,6045142,2332695,11021,4139,2105,2644805,268515,41817,558292,445621,3288022,,1538738,62512,151957,,,,,4291936,1753207,214469,4354448,1690695
AL,38311,1449562725,149248103,65358561,50855,21689,120922,78643037,13209154,1922314,47289237,97974,48262938,41243689,9466872,2706848,,,,180544,,137074382,12173720,2706848,98537542,50710561
AR,19444,593470321,61592137,26538281,39444,18555,77729,39535585,8476457,1245139,33220755,29274,9613708,14478259,2706846,1530217,,,,13078,,57355074,4237063,1530217,44407032,17185105
AZ,39166,1106770070,108779907,52361316,49434,22134,22611,60422378,11309165,1625491,42665011,56862,27176893,32320917,6132153,230743,468115,3130527,,,,102219683,9961539,3829386,70129509,42051712
CA,105821,1648520377,197243680,91692028,23056,9952,5334,54587169,6680665,817719,804760,64721,119431363,16985978,16420784,6862929,12987646,9883634,12101728,1435176,636010,139358008,58256721,41835937,129234959,68379770
CO,19133,542783285,53847380,23019322,42389,18486,27259,42616654,8508112,1226827,32544849,9926,11953808,,1544537,125707,7368614,253065,,,46874,44555457,9291923,7747386,44681164,9166216
CT,10402,319853564,33651816,14516892,6909,2697,1832,8987822,2245481,292375,824948,513414,14683905,15840619,440742,745119,,11706,,604506,,32467392,1197567,756825,17371892,16293067
DC,25,685206,67612,32595,,,0,40047,1511,151,,,67612,,,,,,,,,67612,,,67612,
DE,4000,61234794,7598247,3556771,2292,928,829,3961772,380229,50486,865384,183282,6192122,,,76499,5051,49530,,226379,,7467167,131080,131080,7543666,54581
FL,95151,2031354634,229963756,106955021,74600,33715,102244,125753313,20718376,2859030,52053689,1877919,139995799,27868270,211388,4831424,,227782,,1289282,1608204,224693162,5270594,5059206,201656317,28307440
GA,51324,1211871721,125805608,58175547,40115,13585,75259,69106579,13292244,1988687,45290029,360733,40953202,32570182,2283714,4162521,,119227,,63486,2515,119240146,6565461,4281747,90832485,34973123
HI,3221,94126166,10204159,4419393,19553,8705,37542,6781193,1444170,223276,1511184,6925919,,,94083,334030,578617,39262,253841,256519,210703,8904325,1299833,1205750,9238355,965803
IA,19951,577025484,56846168,22513123,34130,14621,74296,38055322,8586910,1247567,33732766,143929,1372515,4152468,878605,266245,16299640,,,,,39401678,17444491,16565886,35515455,21330713
ID,5504,142787928,15102587,6838476,17168,7272,1056,1107906,156640,25686,77671,1,2494649,,8996995,573794,2805800,,78799,,74878,2647200,12455388,3458393,3220994,11881594
IL,61002,2108558578,202134057,82777027,49458,19811,148984,99999815,22342952,3245544,87277414,86756,5464574,97857900,132298,566372,10082894,45838,,341539,278472,191306655,10827402,10695104,94015127,108118930
IN,40245,1163969261,115023340,48022409,112929,46715,293960,113232515,24404650,3544614,97548739,1362544,9572346,,371153,390539,3449670,102127,,2180430,371473,111035532,4313489,3942336,111426071,3922950
KS,18320,535882719,49727762,21780081,27726,12925,31571,35029736,7652670,1111421,28752282,44280,1452523,8558384,16214,59217,10844861,,,,1,38807470,10920292,10904078,30308303,19419459
KY,29648,958134641,90896435,37185318,87906,34350,202495,94007833,21727248,3166312,83601961,1152779,2500197,,3143567,447989,,,,49941,,87304879,3591556,447989,87752868,3143567
LA,34085,891989968,103522969,47038607,44407,21104,67219,50474153,7060837,1025434,19221019,5231074,56072108,17311330,1090038,2779604,,,,1991004,484768,100311303,3869642,2779604,85779577,18401368
MA,18890,291413753,31014179,14058768,10452,3651,5780,13778384,3512907,465487,2794889,956092,18473432,5769154,438774,1197608,210783,294106,,877549,,28871117,2141271,1702497,24299571,6712817
MD,17844,403720359,37819445,15601586,16264,5574,25340,21940311,5412138,780765,17603291,463456,2505890,14343334,1615523,567144,314338,93185,,313284,,35229255,2590190,974667,21453065,16366380
ME,5832,112036080,13245795,5698355,3184,1158,2342,2292308,2228291,315950,79104,304962,4344552,,3620334,3394386,1097329,,,308447,96682,5133747,8112049,4491715,8528132,4717663
MI,35992,1109388715,106747582,46153964,64216,28311,156964,67940296,15393448,2222701,52899845,1051298,12465145,31245848,899133,2806234,3856432,,,1505855,17792,99185783,7561799,6662666,70746169,36001413
MN,21058,590782742,56981324,22980544,27615,11122,29008,34198306,8776872,1258627,27956680,60248,3871764,12707166,548488,1763168,9674170,2653,,281013,115975,44992845,11988479,11439991,34048847,22932477
MO,24281,861313934,87833977,38714170,75218,31674,135591,76592409,18373415,2668813,72409212,103646,4047005,9276356,716189,115635,1131105,8707,,26123,,85862342,1971636,1255447,76701621,11132357
MS,19439,481086156,55127092,26236752,20771,10508,92661,27209854,3502986,505592,10742566,14101,32605949,10252183,,1507949,,,,4344,,53619143,1507949,1507949,44874909,10252183
MT,7012,319688000,30257616,12622435,20194,8069,15064,19566329,4114465,612223,15579416,428369,515454,,11482751,13009,1973794,,,10,264814,16788062,13469554,1986803,16801071,13456545
NC,45383,1200493741,126271599,56174851,43456,17476,43435,61856263,13214881,1905777,49238197,458734,28737608,40967020,4834092,2546701,,723525,,313278,317875,120032712,8104318,3270225,81612392,46524637
ND,8673,387800023,36462508,14166705,46632,18253,50585,32978634,7396552,1075713,27394068,25777,234655,,2531360,2652,6202412,,,40143,31440,27726084,8736424,6205064,27728736,8733772
NE,9644,406984081,39431138,16925088,25213,10533,61638,27467791,6305349,916903,24922175,42513,405708,10101838,1157781,64185,2736939,,,,,35472233,3958905,2801124,25434580,13996558
NH,4674,196894209,19538395,8335017,3952,959,2893,3691522,2090124,278464,1310999,287450,4388291,10168265,1381362,1540808,411581,,,49639,,16204644,3333751,1952389,7577187,11961208
NJ,27095,650386734,66819245,27937572,10574,4607,2435,18512129,2699756,348363,2514539,465258,30104013,31507121,-219608,998426,22855,511562,,537503,102631,65231065,1313235,1532843,34722370,31821930
